RECORD_ID,ITEM_NAME,ITEM_DESCRIPTION,ITEM_PRICE,ITEM_AMOUNT,ITEM_KEY,REGISTERED_MONEY,REGISTERED_CHANGE,TRANSACTION_METHOD,TRANSACTION_STATUS,ITEM_INVENTORY,SERVER_HOSTNAME, SERVER_LOCAL_IP, SERVER_INTERNET_IP
20240502-081958,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-082523,STAINLESS SCREW SET 2,3.5 mm x 40 mm,17,1,10,50,33,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-082523,STAINLESS SCREW SET 2,3.5 mm x 40 mm,17,1,10,50,33,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-083640,BLACK SCREW SET 3,3.5 mm x 50 mm,23,1,8,50,27,CASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-083820,BLACK SCREW SET 3,3.5 mm x 50 mm,23,1,8,50,27,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-083820,BLACK SCREW SET 3,3.5 mm x 50 mm,23,1,8,50,27,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-103604,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,CASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122358,STAINLESS SCREW SET 3,3.5 mm x 50 mm,20,1,11,50,30,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122512,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122809,STAINLESS SCREW SET 1,3.5 mm x 25 mm,15,1,9,50,35,CASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122912,BLACK SCREW SET 3,3.5 mm x 50 mm,23,1,8,50,27,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122912,BLACK SCREW SET 3,3.5 mm x 50 mm,23,1,8,50,27,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122912,BLACK SCREW SET 3,3.5 mm x 50 mm,23,1,8,50,27,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122949,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
